coach,coach_id
Jeff Weeks,1192
"Bo Hardegree , Chris Kragthorpe, and Hines Ward",1193
"Robby Brown, Blake Williams, and Eric Sanders",1194
Chip Vaughn,1195
Aaron Glenn,1196
Tanner Engstrand,1197
Chris Banjo,1198
Roosevelt Williams,1199
Alonso Escalante,1200
Todd Washington,1201
John Beck,1202
John Benton,1203
Steve Scarnecchia,1204
Fred von Appen,1205
Brian Ferentz,1206
Jay Mandolesi,1207
Lunda Wells,1208
Keith Millard,1209
Chandler Henley,1210
Danny Meehan,1211
David Shaw,1212
Tom Melvin,1213
Dana Bible,1214
Mike Zordich,1215
Mike Kelly,1216
Tim McGarigle,1217
Edgar Bennett,1218
Ryan Downard,1219
Doug Colman,1220
Will Lawing,1221
Kevin Koger,1222
Wendel Davis,1223
Shawn Mennenga,1224
Marquice Williams,1225
Tony Carter,1226
Steve Oliver,1227
Joe Marciano,1228
Billy Yates,1229
Ron Prince,1230
Steve Gregory,1231
Ken Flajole,1232
Jim Lind,1233
Chris Kiffin,1234
Ernie Zampese,1235
Mike Rutenberg,1236
Vacant,1237
Gary Stevens,1238
Charlie Skalaski,1239
Ryan Silverfield,1240
Kippy Brown,1241
Jeff Horton,1242
Callie Brownson,1243
Zach Dunn,1244
Stephen Bravo–Brown,1245
Ben Bloom,1246
Seitu Smith,1247
Kevin Rogers,1248
Kyohei Kosaka,1249
Brian Braswell,1250
Chris Tabor,1251
Eric Sanders,1252
Chris Jones,1253
Kirby Wilson,1254
Hue Jackson,1255
Tyler Tettleton,1256
Bobby King,1257
Jimmy Robinson,1258
Keith O'Quinn,1259
Hudson Houck,1260
Jonathan Decoster,1261
Nolan Cromwell,1262
Chuck Bullough,1263
Tony Tuioti,1264
Steve Gera,1265
Michael McCarthy,1266
Kurt Roper,1267
Bill Kuharich,1268
Daron Roberts,1269
Mark Thewes,1270
Terry Tumey,1271
Terry Heffernan,1272
Fred Reed,1273
Tim Martz,1274
Turner West,1275
Andre Gurode,1276
Laura Fryar,1277
Rob Davis,1278
George Dyer,1279
Eric Simonelli,1280
Scott Tolzien,1281
Chase Haslett,1282
Ricky Manning Jr.,1283
Will Tukuafu,1284
Kyle Childress,1285
Joe Blaymeir,1286
Dick Curl,1287
Mike Cox,1288
Keith Murphy,1289
Addison Lynch,1290
Kenan Smith,1291
"Paul Boudreau, Jr.",1292
"Dave McGinnis , Rob Boras",1293
Tim Walton,1294
Don Martin,1295
Andre Carter,1296
De'Andre Pierce,1297
D'Anton Lynn,1298
Mark Ridgley,1299
Josh McDaniels ; fired on October 31,1300
Mick Lombardi ; fired on October 31,1301
Luke Getsy,1302
Antonio Pierce,1303
Danny Amendola,1304
Keith Heyward,1305
Bill Kollar,1306
Dan Hammerschmidt,1307
Bruce Matthews,1308
Marc Lubick,1309
Pat O'Hara,1310
John McNulty,1311
Bobby Petrino,1312
Lane Kiffin,1313
Garrick McGee,1314
