role_original,role_cleaned,role_category,role_subcategory,position_group,position_subgroup
Offensive assistant/assistant wide receivers,offensive assistant/assistant wide receivers,Position Coach - Offense,Wide Receivers Coach,WR,
Offensive assistant/receivers,offensive assistant/receivers,Position Coach - Offense,Wide Receivers Coach,WR,
Offensive Assistant/Wide Receivers,offensive assistant/wide receivers,Position Coach - Offense,Wide Receivers Coach,WR,
Offensive assistant/wide receivers,offensive assistant/wide receivers,Position Coach - Offense,Wide Receivers Coach,WR,
Offensive Quality Control / Assistant Wide Receivers,offensive quality control / assistant wide receivers,Position Coach - Offense,Wide Receivers Coach,WR,
Offensive quality control/assistant wide receivers,offensive quality control/assistant wide receivers,Position Coach - Offense,Wide Receivers Coach,WR,
Offensive quality control/receivers,offensive quality control/receivers,Position Coach - Offense,Wide Receivers Coach,WR,
Offensive quality control/wide receivers,offensive quality control/wide receivers,Position Coach - Offense,Wide Receivers Coach,WR,
Pass game specialist/wide receivers,pass game specialist/wide receivers,Position Coach - Offense,Wide Receivers Coach,WR,
Passing game specialist/wide receivers,passing game specialist/wide receivers,Position Coach - Offense,Wide Receivers Coach,WR,
Receivers,receivers,Position Coach - Offense,Wide Receivers Coach,WR,
Receivers Coach,receivers coach,Position Coach - Offense,Wide Receivers Coach,WR,
Receivers coach,receivers coach,Position Coach - Offense,Wide Receivers Coach,WR,
Receivers/passing game,receivers/passing game,Position Coach - Offense,Wide Receivers Coach,WR,
Receivers/Passing Game,receivers/passing game,Position Coach - Offense,Wide Receivers Coach,WR,
Senior assistant/wide receivers,senior assistant/wide receivers,Position Coach - Offense,Wide Receivers Coach,WR,
Senior offensive assistant/wide receivers,senior offensive assistant/wide receivers,Position Coach - Offense,Wide Receivers Coach,WR,
Senior offensive assistant/wide receivers coach,senior offensive assistant/wide receivers coach,Position Coach - Offense,Wide Receivers Coach,WR,
Wide receivers,wide receivers,Position Coach - Offense,Wide Receivers Coach,WR,
Wide Receivers,wide receivers,Position Coach - Offense,Wide Receivers Coach,WR,
Wide receivers Coach,wide receivers coach,Position Coach - Offense,Wide Receivers Coach,WR,
Wide receivers coach,wide receivers coach,Position Coach - Offense,Wide Receivers Coach,WR,
Wide receivers/kick returners,wide receivers/kick returners,Position Coach - Offense,Wide Receivers Coach,WR,
Wide receivers/NFL coaching fellowship,wide receivers/nfl coaching fellowship,Position Coach - Offense,Wide Receivers Coach,WR,
Wide receivers/pass game specialist,wide receivers/pass game specialist,Position Coach - Offense,Wide Receivers Coach,WR,
Wide receivers/passing game specialist,wide receivers/passing game specialist,Position Coach - Offense,Wide Receivers Coach,WR,
Assistant special teams/defensive assistant,assistant special teams/defensive assistant,Position Coach - Special Teams,Special Teams Coach,ST,
Assistant special teams/defensive quality control,assistant special teams/defensive quality control,Position Coach - Special Teams,Special Teams Coach,ST,
Defensive assistant/Special Teams,defensive assistant/special teams,Position Coach - Special Teams,Special Teams Coach,ST,
Defensive Assistant/Special Teams,defensive assistant/special teams,Position Coach - Special Teams,Special Teams Coach,ST,
Defensive assistant/special teams,defensive assistant/special teams,Position Coach - Special Teams,Special Teams Coach,ST,
Defensive/special teams assistant,defensive/special teams assistant,Position Coach - Special Teams,Special Teams Coach,ST,
Defensive/Special Teams Assistant,defensive/special teams assistant,Position Coach - Special Teams,Special Teams Coach,ST,
Quality control special teams/defensive assistant,quality control special teams/defensive assistant,Position Coach - Special Teams,Special Teams Coach,ST,
Special teams quality control/defensive quality control,special teams quality control/defensive quality control,Position Coach - Special Teams,Special Teams Coach,ST,
Special teams/defensive assistant,special teams/defensive assistant,Position Coach - Special Teams,Special Teams Coach,ST,
Area scout,area scout,Scouting & Personnel,Area Scout,,
Area Scout,area scout,Scouting & Personnel,Area Scout,,
Regional Scout,regional scout,Scouting & Personnel,Area Scout,,
Assistant director of player personnel,assistant director of player personnel,Scouting & Personnel,Assistant Director - Player Personnel,,
Assistant Director of Player Personnel,assistant director of player personnel,Scouting & Personnel,Assistant Director - Player Personnel,,
Assistant director of Player Personnel,assistant director of player personnel,Scouting & Personnel,Assistant Director - Player Personnel,,
Assistant Director of Player Personnel / Pro Scout,assistant director of player personnel / pro scout,Scouting & Personnel,Assistant Director - Player Personnel,,
Assistant Director Player Personnel,assistant director player personnel,Scouting & Personnel,Assistant Director - Player Personnel,,
Assistant directors of player personnel,assistant directors of player personnel,Scouting & Personnel,Assistant Director - Player Personnel,,
Assistant player personnel director,assistant player personnel director,Scouting & Personnel,Assistant Director - Player Personnel,,
Assistant director of player scouting,assistant director of player scouting,Scouting & Personnel,Assistant Director - Player Scouting,,
Assistant director of pro personnel,assistant director of pro personnel,Scouting & Personnel,Assistant Director - Pro Personnel,,
Assistant Director of pro personnel,assistant director of pro personnel,Scouting & Personnel,Assistant Director - Pro Personnel,,
Associate director of pro personnel,assistant director of pro personnel,Scouting & Personnel,Assistant Director - Pro Personnel,,
Assistant Director of Pro Personnel,assistant director of pro personnel,Scouting & Personnel,Assistant Director - Pro Personnel,,
Assistant Director of Pro Scouting,assistant director of pro scouting,Scouting & Personnel,Assistant Director - Pro Personnel,,
Assistant director of pro scouting,assistant director of pro scouting,Scouting & Personnel,Assistant Director - Pro Personnel,,
Assistant Director of pro scouting,assistant director of pro scouting,Scouting & Personnel,Assistant Director - Pro Personnel,,
Associate director of pro scouting,assistant director of pro scouting,Scouting & Personnel,Assistant Director - Pro Personnel,,
Assistant director of pro scouting/free agency,assistant director of pro scouting/free agency,Scouting & Personnel,Assistant Director - Pro Personnel,,
"Assistant director, pro scouting","assistant director, pro scouting",Scouting & Personnel,Assistant Director - Pro Personnel,,
Co–Assistant director of pro personnel,co-assistant director of pro personnel,Scouting & Personnel,Assistant Director - Pro Personnel,,
Senior assistant director of pro personnel,senior assistant director of pro personnel,Scouting & Personnel,Assistant Director - Pro Personnel,,
Senior personnel executive/assistant director of pro scouting,senior personnel executive/assistant director of pro scouting,Scouting & Personnel,Assistant Director - Pro Personnel,,
BLESTO Scout,blesto scout,Scouting & Personnel,College Scout,,
Blesto scout,blesto scout,Scouting & Personnel,College Scout,,
Director of draft management,director of draft management,Scouting & Personnel,Director - Draft Management,,
Assistant director of football administration,assistant director of football administration,Scouting & Personnel,Director - Football Operations,,
Associate director of football administration,assistant director of football administration,Scouting & Personnel,Director - Football Operations,,
Assistant director of football operations,assistant director of football operations,Scouting & Personnel,Director - Football Operations,,
Assistant Director of football operations,assistant director of football operations,Scouting & Personnel,Director - Football Operations,,
Assistant football operations director,assistant football operations director,Scouting & Personnel,Director - Football Operations,,
Asst. director of football operations/salary cap,assistant. director of football operations/salary cap,Scouting & Personnel,Director - Football Operations,,
Director of football administration,director of football administration,Scouting & Personnel,Director - Football Operations,,
Director of Football Administration,director of football administration,Scouting & Personnel,Director - Football Operations,,
Director of football administration & analytics,director of football administration & analytics,Scouting & Personnel,Director - Football Operations,,
Director of Football Administration & Analytics,director of football administration & analytics,Scouting & Personnel,Director - Football Operations,,
Director of football administration & Analytics,director of football administration & analytics,Scouting & Personnel,Director - Football Operations,,
Director of football administration/player finance,director of football administration/player finance,Scouting & Personnel,Director - Football Operations,,
Director of football operations,director of football operations,Scouting & Personnel,Director - Football Operations,,
Director of Football Operations,director of football operations,Scouting & Personnel,Director - Football Operations,,
Director of football operations & process,director of football operations & process,Scouting & Personnel,Director - Football Operations,,
Director of Football Operations/Player Personnel,director of football operations/player personnel,Scouting & Personnel,Director - Football Operations,,
Director of football operations/pro scout,director of football operations/pro scout,Scouting & Personnel,Director - Football Operations,,
Director of football operations/special projects,director of football operations/special projects,Scouting & Personnel,Director - Football Operations,,
Director of player finance/football operations,director of player finance/football operations,Scouting & Personnel,Director - Football Operations,,
Director of Pro Personnel/Asst. Director of Football Operations,director of pro personnel/assistant. director of football operations,Scouting & Personnel,Director - Football Operations,,
Director of scouting and football operations,director of scouting and football operations,Scouting & Personnel,Director - Football Operations,,
"Director, football operations","director, football operations",Scouting & Personnel,Director - Football Operations,,
"Director, Football Operations","director, football operations",Scouting & Personnel,Director - Football Operations,,
"Director, scouting and football operations","director, scouting and football operations",Scouting & Personnel,Director - Football Operations,,
Executive director of football operations,executive director of football operations,Scouting & Personnel,Director - Football Operations,,
Senior director of football administration,senior director of football administration,Scouting & Personnel,Director - Football Operations,,
Senior director of football administration/staff counsel,senior director of football administration/staff counsel,Scouting & Personnel,Director - Football Operations,,
Senior director of football operations,senior director of football operations,Scouting & Personnel,Director - Football Operations,,
Senior director of football operations/football administration,senior director of football operations/football administration,Scouting & Personnel,Director - Football Operations,,
"Senior director, football administration","senior director, football administration",Scouting & Personnel,Director - Football Operations,,
Vice–president/Director of Football Operations,vice-president/director of football operations,Scouting & Personnel,Director - Football Operations,,
Co–director of player personnel,co-director of player personnel,Scouting & Personnel,Director of Player Personnel,,
Co–Director of player personnel,co-director of player personnel,Scouting & Personnel,Director of Player Personnel,,
"Co–director, player personnel","co-director, player personnel",Scouting & Personnel,Director of Player Personnel,,
Director of player personnel,director of player personnel,Scouting & Personnel,Director of Player Personnel,,
Director of Player Personnel,director of player personnel,Scouting & Personnel,Director of Player Personnel,,
Director of player personnel/Pro,director of player personnel/pro,Scouting & Personnel,Director of Player Personnel,,
Director of player personnel/pro,director of player personnel/pro,Scouting & Personnel,Director of Player Personnel,,
Director of pro player personnel,director of pro player personnel,Scouting & Personnel,Director of Player Personnel,,
"Director, player personnel","director, player personnel",Scouting & Personnel,Director of Player Personnel,,
Executive director of player personnel,executive director of player personnel,Scouting & Personnel,Director of Player Personnel,,
Player personnel director,player personnel director,Scouting & Personnel,Director of Player Personnel,,
Senior Director of player personnel,senior director of player personnel,Scouting & Personnel,Director of Player Personnel,,
Senior director of player personnel,senior director of player personnel,Scouting & Personnel,Director of Player Personnel,,
"Senior player personnel executive, board director","senior player personnel executive, board director",Scouting & Personnel,Director of Player Personnel,,
Director of player scouting,director of player scouting,Scouting & Personnel,Director of Player Scouting,,
Director of Player Scouting,director of player scouting,Scouting & Personnel,Director of Player Scouting,,
Co–director of pro scouting,co-director of pro scouting,Scouting & Personnel,Director of Pro Personnel,,
Co–director of pro scouting/free agency,co-director of pro scouting/free agency,Scouting & Personnel,Director of Pro Personnel,,
Director of pro personnel,director of pro personnel,Scouting & Personnel,Director of Pro Personnel,,
Director of Pro Personnel,director of pro personnel,Scouting & Personnel,Director of Pro Personnel,,
Director of pro personnel & development,director of pro personnel & development,Scouting & Personnel,Director of Pro Personnel,,
Director of pro personnel and development,director of pro personnel and development,Scouting & Personnel,Director of Pro Personnel,,
Director of Pro Scouting,director of pro scouting,Scouting & Personnel,Director of Pro Personnel,,
Director of pro scouting,director of pro scouting,Scouting & Personnel,Director of Pro Personnel,,
"Director, pro personnel","director, pro personnel",Scouting & Personnel,Director of Pro Personnel,,
"Director, pro scouting","director, pro scouting",Scouting & Personnel,Director of Pro Personnel,,
Pro personnel director,pro personnel director,Scouting & Personnel,Director of Pro Personnel,,
Pro scouting director,pro scouting director,Scouting & Personnel,Director of Pro Personnel,,
Senior director of pro personnel,senior director of pro personnel,Scouting & Personnel,Director of Pro Personnel,,
Senior director of pro scouting,senior director of pro scouting,Scouting & Personnel,Director of Pro Personnel,,
Assistant director of scouting,assistant director of scouting,Scouting & Personnel,Director of Scouting,,
"Assistant director, scouting","assistant director, scouting",Scouting & Personnel,Director of Scouting,,
Director of advance scouting,director of advance scouting,Scouting & Personnel,Director of Scouting,,
Director of professional scouting,director of professional scouting,Scouting & Personnel,Director of Scouting,,
Director of Regional Scouting,director of regional scouting,Scouting & Personnel,Director of Scouting,,
Director of scouting,director of scouting,Scouting & Personnel,Director of Scouting,,
Director of Scouting,director of scouting,Scouting & Personnel,Director of Scouting,,
Director of scouting administration,director of scouting administration,Scouting & Personnel,Director of Scouting,,
Director of scouting administration/personnel scout,director of scouting administration/personnel scout,Scouting & Personnel,Director of Scouting,,
Director of scouting advancement,director of scouting advancement,Scouting & Personnel,Director of Scouting,,
Director of scouting operations,director of scouting operations,Scouting & Personnel,Director of Scouting,,
Director of scouting projects,director of scouting projects,Scouting & Personnel,Director of Scouting,,
Director of scouting research,director of scouting research,Scouting & Personnel,Director of Scouting,,
"Director, scouting","director, scouting",Scouting & Personnel,Director of Scouting,,
Scouting director (Pro),scouting director (pro),Scouting & Personnel,Director of Scouting,,
Senior director of scouting,senior director of scouting,Scouting & Personnel,Director of Scouting,,
Coordinator of football operations,coordinator of football operations,Scouting & Personnel,Football Operations Coordinator,,
Coordinator of Football Operations and Player Personnel,coordinator of football operations and player personnel,Scouting & Personnel,Football Operations Coordinator,,
Football operations coordinator,football operations coordinator,Scouting & Personnel,Football Operations Coordinator,,
Football operations manager,football operations manager,Scouting & Personnel,Football Operations Manager,,
Manager of football operations,manager of football operations,Scouting & Personnel,Football Operations Manager,,
National scout,national scout,Scouting & Personnel,National Scout,,
National Scout,national scout,Scouting & Personnel,National Scout,,
National scouts,national scouts,Scouting & Personnel,National Scout,,
Senior national scout,senior national scout,Scouting & Personnel,National Scout,,
Senior national scouts,senior national scouts,Scouting & Personnel,National Scout,,
Administrative Assistant/Player Personnel,administrative assistant/player personnel,Scouting & Personnel,Personnel Assistant,,
Administrative assistant/player personnel,administrative assistant/player personnel,Scouting & Personnel,Personnel Assistant,,
Personnel assistant,personnel assistant,Scouting & Personnel,Personnel Assistant,,
Player Personnel Assistant,player personnel assistant,Scouting & Personnel,Personnel Assistant,,
Administrator of pro personnel,administrator of pro personnel,Scouting & Personnel,Personnel Staff,,
Coaching and personnel consultant,coaching and personnel consultant,Scouting & Personnel,Personnel Staff,,
Consultant to player personnel,consultant to player personnel,Scouting & Personnel,Personnel Staff,,
Coordinator of player personnel,coordinator of player personnel,Scouting & Personnel,Personnel Staff,,
Direct or Pro Personnel,direct or pro personnel,Scouting & Personnel,Personnel Staff,,
Football operations counsel and personnel executive,football operations counsel and personnel executive,Scouting & Personnel,Personnel Staff,,
Personnel advisor,personnel advisor,Scouting & Personnel,Personnel Staff,,
Personnel analyst,personnel analyst,Scouting & Personnel,Personnel Staff,,
Personnel consultant,personnel consultant,Scouting & Personnel,Personnel Staff,,
Personnel coordinator,personnel coordinator,Scouting & Personnel,Personnel Staff,,
Personnel executive,personnel executive,Scouting & Personnel,Personnel Staff,,
Personnel Executive,personnel executive,Scouting & Personnel,Personnel Staff,,
Personnel Operations,personnel operations,Scouting & Personnel,Personnel Staff,,
Personnel operations,personnel operations,Scouting & Personnel,Personnel Staff,,
Player personnel advisor,player personnel advisor,Scouting & Personnel,Personnel Staff,,
Player Personnel Analyst,player personnel analyst,Scouting & Personnel,Personnel Staff,,
Player personnel consultant,player personnel consultant,Scouting & Personnel,Personnel Staff,,
Player personnel coordinator,player personnel coordinator,Scouting & Personnel,Personnel Staff,,
Player personnel executive,player personnel executive,Scouting & Personnel,Personnel Staff,,
Player personnel research and analytics,player personnel research and analytics,Scouting & Personnel,Personnel Staff,,
Pro personnel coordinator,pro personnel coordinator,Scouting & Personnel,Personnel Staff,,
Pro Personnel Coordinator,pro personnel coordinator,Scouting & Personnel,Personnel Staff,,
Pro player personnel,pro player personnel,Scouting & Personnel,Personnel Staff,,
Senior personnel advisor,senior personnel advisor,Scouting & Personnel,Personnel Staff,,
Senior personnel consultant,senior personnel consultant,Scouting & Personnel,Personnel Staff,,
Senior personnel executive,senior personnel executive,Scouting & Personnel,Personnel Staff,,
Senior Personnel Executive,senior personnel executive,Scouting & Personnel,Personnel Staff,,
Senior personnel Executive,senior personnel executive,Scouting & Personnel,Personnel Staff,,
Senior personnel executives,senior personnel executives,Scouting & Personnel,Personnel Staff,,
Senior personnel/coaching executive,senior personnel/coaching executive,Scouting & Personnel,Personnel Staff,,
Senior personnel/special projects,senior personnel/special projects,Scouting & Personnel,Personnel Staff,,
Senior player personnel executive,senior player personnel executive,Scouting & Personnel,Personnel Staff,,
Senior pro personnel analyst,senior pro personnel analyst,Scouting & Personnel,Personnel Staff,,
Senior Vice–president of Player Personnel,senior vice-president of player personnel,Scouting & Personnel,Personnel Staff,,
Vice–president of player personnel,vice-president of player personnel,Scouting & Personnel,Personnel Staff,,
Pro personnel assistant,pro personnel assistant,Scouting & Personnel,Pro Personnel Assistant,,
Salary cap analyst/pro personnel assistant,salary cap analyst/pro personnel assistant,Scouting & Personnel,Pro Personnel Assistant,,
Pro Scout,pro scout,Scouting & Personnel,Pro Scout,,
Pro scout,pro scout,Scouting & Personnel,Pro Scout,,
Pro scouting,pro scouting,Scouting & Personnel,Pro Scout,,
Pro talent scout,pro talent scout,Scouting & Personnel,Pro Scout,,
Pro Talent Scout,pro talent scout,Scouting & Personnel,Pro Scout,,
Senior pro scout,senior pro scout,Scouting & Personnel,Pro Scout,,
Senior scout/special projects,senior scout/special projects,Scouting & Personnel,Pro Scout,,
Vice president of pro scouting,vice president of pro scouting,Scouting & Personnel,Pro Scout,,
Coordinator of pro scouting,coordinator of pro scouting,Scouting & Personnel,Pro Scouting Coordinator,,
Coordinator of Pro Scouting,coordinator of pro scouting,Scouting & Personnel,Pro Scouting Coordinator,,
coordinator of pro scouting,coordinator of pro scouting,Scouting & Personnel,Pro Scouting Coordinator,,
Pro scouting coordinator,pro scouting coordinator,Scouting & Personnel,Pro Scouting Coordinator,,
Admin. Asst./Defensive Scouting Reports,admin. assistant./defensive scouting reports,Scouting & Personnel,Scout,,
Assistant scout,assistant scout,Scouting & Personnel,Scout,,
Executive Assistant / Scout,executive assistant / scout,Scouting & Personnel,Scout,,
Personnel Scouts,personnel scouts,Scouting & Personnel,Scout,,
Scout,scout,Scouting & Personnel,Scout,,
Scouting Assistant,scouting assistant,Scouting & Personnel,Scout,,
Scouting Consultant,scouting consultant,Scouting & Personnel,Scout,,
Scouting consultant,scouting consultant,Scouting & Personnel,Scout,,
Scouting consultants,scouting consultants,Scouting & Personnel,Scout,,
Scouts,scouts,Scouting & Personnel,Scout,,
Senior player personnel scout,senior player personnel scout,Scouting & Personnel,Scout,,
Senior scout,senior scout,Scouting & Personnel,Scout,,
Senior scouting assistants,senior scouting assistants,Scouting & Personnel,Scout,,
Senior scouting executive,senior scouting executive,Scouting & Personnel,Scout,,
Talent scout,talent scout,Scouting & Personnel,Scout,,
Talent Scout,talent scout,Scouting & Personnel,Scout,,
Vice–president of player personnel and scouting,vice-president of player personnel and scouting,Scouting & Personnel,Scout,,
Senior assistant player personnel,senior assistant player personnel,Scouting & Personnel,Senior Personnel Assistant,,
Senior assistant to general manager / player personnel coordinator,senior assistant to general manager / player personnel coordinator,Scouting & Personnel,Senior Personnel Assistant,,
Senior personnel assistant,senior personnel assistant,Scouting & Personnel,Senior Personnel Assistant,,
Vice president of player evaluation,vice president of player evaluation,Scouting & Personnel,VP Personnel,,
Vice president of pro personnel,vice president of pro personnel,Scouting & Personnel,VP Personnel,,
Vice president of pro personnel and player assistance,vice president of pro personnel and player assistance,Scouting & Personnel,VP Personnel,,
Administrative coordinator/coaching assistant,administrative coordinator/coaching assistant,Specialist Coach,Coaching Assistant,,
Chief of staff,chief of staff,Specialist Coach,Coaching Assistant,,
Chief of staff/assistant to the general manager,chief of staff/assistant to the general manager,Specialist Coach,Coaching Assistant,,
Chief of staff/football,chief of staff/football,Specialist Coach,Coaching Assistant,,
Chief of staff/offensive assistant,chief of staff/offensive assistant,Specialist Coach,Coaching Assistant,,
Coaches Assistant,coaches assistant,Specialist Coach,Coaching Assistant,,
Coaches assistant,coaches assistant,Specialist Coach,Coaching Assistant,,
Coaches' assistant,coaches' assistant,Specialist Coach,Coaching Assistant,,
Coaching assistant,coaching assistant,Specialist Coach,Coaching Assistant,,
Coaching Assistant,coaching assistant,Specialist Coach,Coaching Assistant,,
Coaching assistant/returners,coaching assistant/returners,Specialist Coach,Coaching Assistant,,
Coaching chief of staff,coaching chief of staff,Specialist Coach,Coaching Assistant,,
Defensive coaching assistant,defensive coaching assistant,Specialist Coach,Coaching Assistant,,
Executive Chief of Staff,executive chief of staff,Specialist Coach,Coaching Assistant,,
Offensive Coaches Assistant,offensive coaches assistant,Specialist Coach,Coaching Assistant,,
Offensive coaches assistant,offensive coaches assistant,Specialist Coach,Coaching Assistant,,
Offensive coaching assistant,offensive coaching assistant,Specialist Coach,Coaching Assistant,,
Offensive coaching associate,offensive coaching assistant,Specialist Coach,Coaching Assistant,,
Senior coaching assistant,senior coaching assistant,Specialist Coach,Coaching Assistant,,
Staff Assistant,staff assistant,Specialist Coach,Coaching Assistant,,
Staff assistant,staff assistant,Specialist Coach,Coaching Assistant,,
Staff Assistant (Defense),staff assistant (defense),Specialist Coach,Coaching Assistant,,
Strength staff assistant,strength staff assistant,Specialist Coach,Coaching Assistant,,
WCF minority coaching assistantship/defense,wcf minority coaching assistantship/defense,Specialist Coach,Coaching Assistant,,
Coordinator of football research/defensive assistant,coordinator of football research/defensive assistant,Specialist Coach,Defensive Assistant,,
Defense,defense,Specialist Coach,Defensive Assistant,,
Defensive,defensive,Specialist Coach,Defensive Assistant,,
Defensive assistant,defensive assistant,Specialist Coach,Defensive Assistant,,
Defensive Assistant,defensive assistant,Specialist Coach,Defensive Assistant,,
Defensive aide,defensive assistant,Specialist Coach,Defensive Assistant,,
Defensive assistant (nickels),defensive assistant (nickels),Specialist Coach,Defensive Assistant,,
Defensive assistant coach,defensive assistant coach,Specialist Coach,Defensive Assistant,,
Defensive assistant/assistant strength,defensive assistant/assistant strength,Specialist Coach,Defensive Assistant,,
Defensive Assistant/Coaching Operations,defensive assistant/coaching operations,Specialist Coach,Defensive Assistant,,
Defensive assistant/nickel,defensive assistant/nickel,Specialist Coach,Defensive Assistant,,
Defensive assistant/Nickel,defensive assistant/nickel,Specialist Coach,Defensive Assistant,,
Defensive assistant/nickels,defensive assistant/nickels,Specialist Coach,Defensive Assistant,,
Defensive assistant/pass rush,defensive assistant/pass rush,Specialist Coach,Defensive Assistant,,
Defensive assistant/pass rush specialist,defensive assistant/pass rush specialist,Specialist Coach,Defensive Assistant,,
Defensive assistant/special assistant,defensive assistant/special assistant,Specialist Coach,Defensive Assistant,,
Defensive assistant/special projects,defensive assistant/special projects,Specialist Coach,Defensive Assistant,,
Defensive Staff Assistant,defensive staff assistant,Specialist Coach,Defensive Assistant,,
Defensive staff assistant,defensive staff assistant,Specialist Coach,Defensive Assistant,,
Nickel/senior defensive assistant,nickel/senior defensive assistant,Specialist Coach,Defensive Assistant,,
Senior defensive assistant,senior defensive assistant,Specialist Coach,Defensive Assistant,,
Senior Defensive Assistant / Special Projects Coach,senior defensive assistant / special projects coach,Specialist Coach,Defensive Assistant,,
Senior defensive assistant/pass rush specialist,senior defensive assistant/pass rush specialist,Specialist Coach,Defensive Assistant,,
Senior defensive assistant/run game specialist,senior defensive assistant/run game specialist,Specialist Coach,Defensive Assistant,,
Strength and conditioning/defensive assistant,strength and conditioning/defensive assistant,Specialist Coach,Defensive Assistant,,
Kicking consultant,kicking consultant,Specialist Coach,Kicking Consultant,,
Offense,offense,Specialist Coach,Offensive Assistant,,
Offensive assistant,offensive assistant,Specialist Coach,Offensive Assistant,,
Offensive Assistant,offensive assistant,Specialist Coach,Offensive Assistant,,
Offensive aide,offensive assistant,Specialist Coach,Offensive Assistant,,
Offensive assistant / Research and Development,offensive assistant / research and development,Specialist Coach,Offensive Assistant,,
Offensive assistant/assistant player programs,offensive assistant/assistant player programs,Specialist Coach,Offensive Assistant,,
Offensive Assistant/Coaches’ Assistant,offensive assistant/coaches’ assistant,Specialist Coach,Offensive Assistant,,
Offensive assistant/defensive assistant,offensive assistant/defensive assistant,Specialist Coach,Offensive Assistant,,
Offensive assistant/fellowship,offensive assistant/fellowship,Specialist Coach,Offensive Assistant,,
Offensive assistant/game management,offensive assistant/game management,Specialist Coach,Offensive Assistant,,
Offensive assistant/game manager,offensive assistant/game manager,Specialist Coach,Offensive Assistant,,
Offensive assistant/minority coaching fellow,offensive assistant/minority coaching fellow,Specialist Coach,Offensive Assistant,,
Offensive assistant/minority fellowship,offensive assistant/minority fellowship,Specialist Coach,Offensive Assistant,,
Offensive assistant/pass game specialist,offensive assistant/pass game specialist,Specialist Coach,Offensive Assistant,,
Offensive assistant/passing game,offensive assistant/passing game,Specialist Coach,Offensive Assistant,,
Offensive assistant/research & analysis,offensive assistant/research & analysis,Specialist Coach,Offensive Assistant,,
Offensive assistant/run game specialist,offensive assistant/run game specialist,Specialist Coach,Offensive Assistant,,
Offensive assistant/special assistant,offensive assistant/special assistant,Specialist Coach,Offensive Assistant,,
Offensive coordinator/offensive assistant,offensive coordinator/offensive assistant,Specialist Coach,Offensive Assistant,,
Offensive Staff Assistant,offensive staff assistant,Specialist Coach,Offensive Assistant,,
Offensive staff assistant,offensive staff assistant,Specialist Coach,Offensive Assistant,,
Senior offensive assistant,senior offensive assistant,Specialist Coach,Offensive Assistant,,
Senior Offensive Assistant/Interim Offensive coordinator,senior offensive assistant/interim offensive coordinator,Specialist Coach,Offensive Assistant,,
Senior offensive assistant/pass game specialist,senior offensive assistant/pass game specialist,Specialist Coach,Offensive Assistant,,
Senior offensive assistant/running backs/interim offensive coordinator,senior offensive assistant/running backs/interim offensive coordinator,Specialist Coach,Offensive Assistant,,
Senior offensive assistant/special assignments,senior offensive assistant/special assignments,Specialist Coach,Offensive Assistant,,
Special offensive assistant,special offensive assistant,Specialist Coach,Offensive Assistant,,
Offensive Consultant,offensive consultant,Specialist Coach,Offensive Consultant,,
Offensive consultant,offensive consultant,Specialist Coach,Offensive Consultant,,
Senior coaching consultant/Offensive Consultant,senior coaching consultant/offensive consultant,Specialist Coach,Offensive Consultant,,
Senior coaching consultant/offensive consultant,senior coaching consultant/offensive consultant,Specialist Coach,Offensive Consultant,,
Senior offensive consultant,senior offensive consultant,Specialist Coach,Offensive Consultant,,
Defensive pass game specialist,defensive pass game specialist,Specialist Coach,Pass Game Specialist,,
Game management coordinator/passing game specialist,game management coordinator/passing game specialist,Specialist Coach,Pass Game Specialist,,
Offensive passing game specialist,offensive passing game specialist,Specialist Coach,Pass Game Specialist,,
Pass game specialist,pass game specialist,Specialist Coach,Pass Game Specialist,,
Pass game specialist/game management,pass game specialist/game management,Specialist Coach,Pass Game Specialist,,
Pass game specialist/game management coordinator,pass game specialist/game management coordinator,Specialist Coach,Pass Game Specialist,,
Passing game specialist,passing game specialist,Specialist Coach,Pass Game Specialist,,
Passing game specialist/game management,passing game specialist/game management,Specialist Coach,Pass Game Specialist,,
Assistant Strength/Pass Rush Consultant,assistant strength/pass rush consultant,Specialist Coach,Pass Rush Specialist,,
Assistant strength/pass rush consultant,assistant strength/pass rush consultant,Specialist Coach,Pass Rush Specialist,,
Pass rush,pass rush,Specialist Coach,Pass Rush Specialist,,
Pass rush coach,pass rush coach,Specialist Coach,Pass Rush Specialist,,
Pass Rush Consultant,pass rush consultant,Specialist Coach,Pass Rush Specialist,,
Pass rush consultant,pass rush consultant,Specialist Coach,Pass Rush Specialist,,
Pass Rush Consultant/Player Development,pass rush consultant/player development,Specialist Coach,Pass Rush Specialist,,
Pass rush coordinator,pass rush coordinator,Specialist Coach,Pass Rush Specialist,,
Pass Rush Specialist,pass rush specialist,Specialist Coach,Pass Rush Specialist,,
Pass rush specialist,pass rush specialist,Specialist Coach,Pass Rush Specialist,,
Manager of football operations and player development,manager of football operations and player development,Specialist Coach,Player Development,,
Player development,player development,Specialist Coach,Player Development,,
Player development assistant,player development assistant,Specialist Coach,Player Development,,
Player development coordinator,player development coordinator,Specialist Coach,Player Development,,
Player Development Coordinator,player development coordinator,Specialist Coach,Player Development,,
Senior vice president of player development,senior vice president of player development,Specialist Coach,Player Development,,
Vice president of player development,vice president of player development,Specialist Coach,Player Development,,
VP of player development,vp of player development,Specialist Coach,Player Development,,
Assistant linebackers/quality control,assistant linebackers/quality control,Specialist Coach,Quality Control,,
