role_original,role_cleaned,role_category,role_subcategory,position_group,position_subgroup
Vice president for finance,vice president for finance,Administrative & Operations,Finance/Accounting,,
Vice president of administration and finance,vice president of administration and finance,Administrative & Operations,Finance/Accounting,,
Vice president of finance,vice president of finance,Administrative & Operations,Finance/Accounting,,
Vice–president of administration and Finance,vice-president of administration and finance,Administrative & Operations,Finance/Accounting,,
Football administration coordinator,football administration coordinator,Administrative & Operations,Football Administration,,
Manager of football administration,manager of football administration,Administrative & Operations,Football Administration,,
Senior football advisor,senior football advisor,Administrative & Operations,Football Advisor/Consultant,,
Vice president/football advisor,vice president/football advisor,Administrative & Operations,Football Advisor/Consultant,,
Assistant director of ticket sales,assistant director of ticket sales,Administrative & Operations,Marketing/Sales,,
Assistant marketing manager,assistant marketing manager,Administrative & Operations,Marketing/Sales,,
Assistant merchandising manager,assistant merchandising manager,Administrative & Operations,Marketing/Sales,,
Director of marketing,director of marketing,Administrative & Operations,Marketing/Sales,,
Director of ticket sales,director of ticket sales,Administrative & Operations,Marketing/Sales,,
Director of Ticket Sales,director of ticket sales,Administrative & Operations,Marketing/Sales,,
Executive vice president/chief marketing officer,executive vice president/chief marketing officer,Administrative & Operations,Marketing/Sales,,
Executive vice president/Chief of sales & marketing for officer,executive vice president/chief of sales & marketing for officer,Administrative & Operations,Marketing/Sales,,
Executive vice president/Chief sales & marketing officer,executive vice president/chief sales & marketing officer,Administrative & Operations,Marketing/Sales,,
Marketing assistant,marketing assistant,Administrative & Operations,Marketing/Sales,,
Marketing coordinator,marketing coordinator,Administrative & Operations,Marketing/Sales,,
Marketing manager,marketing manager,Administrative & Operations,Marketing/Sales,,
Marketing/community relations manager,marketing/community relations manager,Administrative & Operations,Marketing/Sales,,
Merchandising manager,merchandising manager,Administrative & Operations,Marketing/Sales,,
Office/ticket coordinator,office/ticket coordinator,Administrative & Operations,Marketing/Sales,,
Office/ticket manager,office/ticket manager,Administrative & Operations,Marketing/Sales,,
Season ticket assistant,season ticket assistant,Administrative & Operations,Marketing/Sales,,
Ticket manager,ticket manager,Administrative & Operations,Marketing/Sales,,
Ticket sales manager,ticket sales manager,Administrative & Operations,Marketing/Sales,,
Assistant publicity director,assistant publicity director,Administrative & Operations,Public Relations/Media,,
Assistant Publicity Director,assistant publicity director,Administrative & Operations,Public Relations/Media,,
Communications coordinator,communications coordinator,Administrative & Operations,Public Relations/Media,,
Digital media assistant,digital media assistant,Administrative & Operations,Public Relations/Media,,
Director of communications,director of communications,Administrative & Operations,Public Relations/Media,,
Director of football communications,director of football communications,Administrative & Operations,Public Relations/Media,,
Editor,editor,Administrative & Operations,Public Relations/Media,,
Media relations coordinator,media relations coordinator,Administrative & Operations,Public Relations/Media,,
Public relations assistant,public relations assistant,Administrative & Operations,Public Relations/Media,,
Public relations coordinator,public relations coordinator,Administrative & Operations,Public Relations/Media,,
Public relations director,public relations director,Administrative & Operations,Public Relations/Media,,
Public Relations Director,public relations director,Administrative & Operations,Public Relations/Media,,
Public relations/media manager,public relations/media manager,Administrative & Operations,Public Relations/Media,,
Publicity director,publicity director,Administrative & Operations,Public Relations/Media,,
Publicity Director,publicity director,Administrative & Operations,Public Relations/Media,,
Senior vice president of administration,senior vice president of administration,Administrative & Operations,SVP Administration,,
Senior Vice President of Administration,senior vice president of administration,Administrative & Operations,SVP Administration,,
Director of salary cap & player contracts,director of salary cap & player contracts,Administrative & Operations,Salary Cap,,
Director of salary cap/player contracts,director of salary cap/player contracts,Administrative & Operations,Salary Cap,,
Salary cap & legal executive,salary cap & legal executive,Administrative & Operations,Salary Cap,,
Salary cap administrator,salary cap administrator,Administrative & Operations,Salary Cap,,
Senior director of salary cap & player contracts,senior director of salary cap & player contracts,Administrative & Operations,Salary Cap,,
Vice president of stadium development and salary cap,vice president of stadium development and salary cap,Administrative & Operations,Salary Cap,,
Administrative assistant/football operations/travel,administrative assistant/football operations/travel,Administrative & Operations,Team Travel,,
Chief negotiator/travel,chief negotiator/travel,Administrative & Operations,Team Travel,,
Analytics and football research coordinator,analytics and football research coordinator,Analytics & Research,Analytics/Research,,
Analytics assistant,analytics assistant,Analytics & Research,Analytics/Research,,
Assistant director of analytics,assistant director of analytics,Analytics & Research,Analytics/Research,,
Assistant director of Coaching research,assistant director of coaching research,Analytics & Research,Analytics/Research,,
