from_coach_id,coach,community,team,year,avg_max_future_value,avg_oe_future_value,median_oe_future_value,total_oe_future_value,num_reports
136,Bill Belichick,10,Cleveland Browns,1994,0.5846153846153846,0.18461538461538463,0,2.4,13
136,Bill Belichick,10,Cleveland Browns,1995,0.5833333333333334,0.18333333333333335,0,2.2,12
136,Bill Belichick,10,New England Patriots,2000,0.5454545454545455,0.14545454545454545,0,1.6,11
136,Bill Belichick,10,New England Patriots,2001,0.6727272727272727,0.21818181818181817,0,2.4,11
136,Bill Belichick,10,New England Patriots,2002,0.7000000000000001,0.24,0.19999999999999998,2.4,10
136,Bill Belichick,10,New England Patriots,2003,0.6909090909090909,0.23636363636363636,0.19999999999999996,2.6,11
136,Bill Belichick,10,New England Patriots,2004,0.7636363636363637,0.3090909090909091,0.4,3.4,11
136,Bill Belichick,10,New England Patriots,2005,0.6545454545454545,0.23636363636363636,0.19999999999999996,2.6,11
136,Bill Belichick,10,New England Patriots,2006,0.6,0.13999999999999999,0,1.4,10
136,Bill Belichick,10,New England Patriots,2007,0.5818181818181818,0.14545454545454545,0,1.6,11
136,Bill Belichick,10,New England Patriots,2008,0.72,0.26,0.09999999999999998,2.6,10
136,Bill Belichick,10,New England Patriots,2009,0.72,0.3,0.4,3,10
136,Bill Belichick,10,New England Patriots,2010,0.66,0.32,0.30000000000000004,3.2,10
136,Bill Belichick,10,New England Patriots,2011,0.6666666666666667,0.23333333333333334,0.09999999999999998,1.4,6
136,Bill Belichick,10,New England Patriots,2012,0.7090909090909091,0.2545454545454545,0.2,2.8,11
136,Bill Belichick,10,New England Patriots,2013,0.7333333333333334,0.3,0.30000000000000004,3.6,12
136,Bill Belichick,10,New England Patriots,2014,0.7166666666666667,0.3,0.30000000000000004,3.6,12
136,Bill Belichick,10,New England Patriots,2015,0.6923076923076923,0.27692307692307694,0.2,3.6,13
136,Bill Belichick,10,New England Patriots,2016,0.7333333333333334,0.2833333333333333,0.3,3.4,12
136,Bill Belichick,10,New England Patriots,2017,0.6833333333333333,0.23333333333333334,0.19999999999999998,2.8,12
136,Bill Belichick,10,New England Patriots,2018,0.6,0.17142857142857143,0.19999999999999996,1.2,7
136,Bill Belichick,10,New England Patriots,2019,0.6888888888888889,0.2,0.19999999999999996,1.8,9
136,Bill Belichick,10,New England Patriots,2020,0.5777777777777778,0.13333333333333333,0,1.2,9
136,Bill Belichick,10,New England Patriots,2021,0.5875,0.1875,0.19999999999999998,3,16
136,Bill Belichick,10,New England Patriots,2022,0.4428571428571429,0.08571428571428572,0,1.2000000000000002,14
136,Bill Belichick,10,New England Patriots,2023,0.5,0.07142857142857142,0,1,14
138,Ron Erhardt,10,New England Patriots,1980,0.6857142857142857,0.17142857142857143,0,1.2,7
138,Ron Erhardt,10,New England Patriots,1981,0.6571428571428571,0.14285714285714285,0,1,7
145,Joe Walton,7,New York Jets,1985,0.6666666666666667,0.13333333333333333,0.09999999999999998,0.7999999999999999,6
145,Joe Walton,7,New York Jets,1987,0.72,0.15999999999999998,0.19999999999999996,0.7999999999999999,5
145,Joe Walton,7,New York Jets,1988,0.675,0.2,0.19999999999999996,1.6,8
145,Joe Walton,7,New York Jets,1989,0.6,0.125,0,1,8
149,Bud Carson,7,Cleveland Browns,1989,0.6222222222222222,0.13333333333333333,0,1.2,9
149,Bud Carson,7,Cleveland Browns,1990,0.5800000000000001,0.04,0,0.4,10
153,Bruce Coslet,16,Cincinnati Bengals,1997,0.62,0.18000000000000002,0.09999999999999998,1.8,10
153,Bruce Coslet,16,Cincinnati Bengals,1998,0.62,0.18000000000000002,0.09999999999999998,1.8,10
153,Bruce Coslet,16,Cincinnati Bengals,1999,0.5800000000000001,0.12,0,1.2,10
153,Bruce Coslet,16,Cincinnati Bengals,2000,0.5800000000000001,0.12,0,1.2,10
153,Bruce Coslet,16,New York Jets,1990,0.66,0.24000000000000002,0.20000000000000004,2.4000000000000004,10
153,Bruce Coslet,16,New York Jets,1991,0.64,0.22,0.19999999999999998,2.2,10
153,Bruce Coslet,16,New York Jets,1992,0.64,0.22,0.19999999999999998,2.2,10
153,Bruce Coslet,16,New York Jets,1993,0.6,0.18000000000000002,0.09999999999999998,1.8,10
155,Rod Dowhower,17,Indianapolis Colts,1985,0.6666666666666667,0.17777777777777778,0,1.6,9
156,Jim Fassel,7,New York Giants,1998,0.5818181818181818,0.14545454545454545,0,1.6,11
156,Jim Fassel,7,New York Giants,2000,0.54,0.07999999999999999,0,0.7999999999999999,10
156,Jim Fassel,7,New York Giants,2001,0.5636363636363636,0.10909090909090909,0,1.2,11
156,Jim Fassel,7,New York Giants,2002,0.4909090909090909,0.05454545454545454,0,0.6,11
161,Pete Carroll,5,Las Vegas Raiders,2025,0.43000000000000005,0,0,0,20
161,Pete Carroll,5,New England Patriots,1997,0.6181818181818182,0.16363636363636366,0,1.8000000000000003,11
161,Pete Carroll,5,New England Patriots,1998,0.6000000000000001,0.15000000000000002,0,1.8,12
161,Pete Carroll,5,New England Patriots,1999,0.6000000000000001,0.15000000000000002,0,1.8,12
161,Pete Carroll,5,New York Jets,1994,0.5666666666666667,0.13333333333333333,0,1.6,12
161,Pete Carroll,5,Seattle Seahawks,2010,0.6588235294117647,0.24705882352941178,0.2,4.2,17
161,Pete Carroll,5,Seattle Seahawks,2012,0.6625,0.21250000000000002,0,3.4000000000000004,16
161,Pete Carroll,5,Seattle Seahawks,2013,0.6666666666666667,0.24444444444444446,0,4.4,18
161,Pete Carroll,5,Seattle Seahawks,2014,0.6333333333333333,0.2,0,3.6,18
161,Pete Carroll,5,Seattle Seahawks,2015,0.5555555555555556,0.12222222222222223,0,2.2,18
161,Pete Carroll,5,Seattle Seahawks,2016,0.5555555555555556,0.11111111111111112,0,2,18
161,Pete Carroll,5,Seattle Seahawks,2017,0.6095238095238096,0.1904761904761905,0,4,21
161,Pete Carroll,5,Seattle Seahawks,2018,0.6625,0.2,0.09999999999999998,3.2,16
