role_original,role_cleaned,role_category,role_subcategory,position_group,position_subgroup,side_of_ball
Talent scout,talent scout,Scouting & Personnel,Scout,,,Both
Talent Scout,talent scout,Scouting & Personnel,Scout,,,Both
Vice–president of player personnel and scouting,vice-president of player personnel and scouting,Scouting & Personnel,Scout,,,Both
Senior assistant player personnel,senior assistant player personnel,Scouting & Personnel,Senior Personnel Assistant,,,Both
Senior personnel assistant,senior personnel assistant,Scouting & Personnel,Senior Personnel Assistant,,,Both
Vice president of personnel,vice president of personnel,Scouting & Personnel,VP Personnel,,,Both
Vice president of player evaluation,vice president of player evaluation,Scouting & Personnel,VP Personnel,,,Both
Vice president of pro personnel,vice president of pro personnel,Scouting & Personnel,VP Personnel,,,Both
Vice president of pro personnel and player assistance,vice president of pro personnel and player assistance,Scouting & Personnel,VP Personnel,,,Both
Administrative assistant to head coach and general manager,administrative assistant to head coach and general manager,Specialist Coach,Coaching Assistant,,,Both
Administrative Assistant to the Coaching Staff,administrative assistant to the coaching staff,Specialist Coach,Coaching Assistant,,,Both
Administrative assistant to the coaching staff,administrative assistant to the coaching staff,Specialist Coach,Coaching Assistant,,,Both
Administrative assistant to the head coach,administrative assistant to the head coach,Specialist Coach,Coaching Assistant,,,Both
Administrative Assistant to the Head Coach,administrative assistant to the head coach,Specialist Coach,Coaching Assistant,,,Both
Administrative coordinator/coaching assistant,administrative coordinator/coaching assistant,Specialist Coach,Coaching Assistant,,,Both
Assistant,assistant,Specialist Coach,Coaching Assistant,,,Both
Assistant defensive line/assistant to head coach,assistant defensive line/assistant to head coach,Specialist Coach,Coaching Assistant,,,Both
Assistant special teams/administrative assistant to the head coach,assistant special teams/administrative assistant to the head coach,Specialist Coach,Coaching Assistant,,,Both
Assistant to head coach,assistant to head coach,Specialist Coach,Coaching Assistant,,,Both
Assistant to head coach/football operations,assistant to head coach/football operations,Specialist Coach,Coaching Assistant,,,Both
Assistant to head coach/pro personnel,assistant to head coach/pro personnel,Specialist Coach,Coaching Assistant,,,Both
Assistant to the coaching staff,assistant to the coaching staff,Specialist Coach,Coaching Assistant,,,Both
Assistant to the head coach,assistant to the head coach,Specialist Coach,Coaching Assistant,,,Both
Assistant to the Head Coach,assistant to the head coach,Specialist Coach,Coaching Assistant,,,Both
Assistant to the Head coach,assistant to the head coach,Specialist Coach,Coaching Assistant,,,Both
Assistant to the head coach & administrator of coaching operations,assistant to the head coach & administrator of coaching operations,Specialist Coach,Coaching Assistant,,,Both
Assistant to the Head Coach and Administrator of Coaching Operations,assistant to the head coach and administrator of coaching operations,Specialist Coach,Coaching Assistant,,,Both
Assistant to the head coach/administrator of coaching operations,assistant to the head coach/administrator of coaching operations,Specialist Coach,Coaching Assistant,,,Both
Assistant to the Head Coach/Administrator of Coaching Operations,assistant to the head coach/administrator of coaching operations,Specialist Coach,Coaching Assistant,,,Both
Assistant to the head coach/defensive assistant,assistant to the head coach/defensive assistant,Specialist Coach,Coaching Assistant,,,Both
Assistant to the head coach/football operations,assistant to the head coach/football operations,Specialist Coach,Coaching Assistant,,,Both
Assistant to the head coach/offense,assistant to the head coach/offense,Specialist Coach,Coaching Assistant,,,Both
Assistant to the head coach/offensive assistant,assistant to the head coach/offensive assistant,Specialist Coach,Coaching Assistant,,,Both
Assistant to the head coach/quarterbacks,assistant to the head coach/quarterbacks,Specialist Coach,Coaching Assistant,,,Both
Assistant to the head coach/special projects,assistant to the head coach/special projects,Specialist Coach,Coaching Assistant,,,Both
Chief of staff,chief of staff,Specialist Coach,Coaching Assistant,,,Both
Chief of staff/assistant to the general manager,chief of staff/assistant to the general manager,Specialist Coach,Coaching Assistant,,,Both
Chief of staff/football,chief of staff/football,Specialist Coach,Coaching Assistant,,,Both
Chief of staff/offensive assistant,chief of staff/offensive assistant,Specialist Coach,Coaching Assistant,,,Both
Coaches Assistant,coaches assistant,Specialist Coach,Coaching Assistant,,,Both
Coaches assistant,coaches assistant,Specialist Coach,Coaching Assistant,,,Both
Coaches' assistant,coaches' assistant,Specialist Coach,Coaching Assistant,,,Both
Coaching assistant,coaching assistant,Specialist Coach,Coaching Assistant,,,Both
Coaching Assistant,coaching assistant,Specialist Coach,Coaching Assistant,,,Both
Coaching assistant/returners,coaching assistant/returners,Specialist Coach,Coaching Assistant,,,Both
Coaching chief of staff,coaching chief of staff,Specialist Coach,Coaching Assistant,,,Both
Coaching intern,coaching intern,Specialist Coach,Coaching Assistant,,,Both
Coaching intern/offense,coaching intern/offense,Specialist Coach,Coaching Assistant,,,Both
Coaching intern/outside linebackers,coaching intern/outside linebackers,Specialist Coach,Coaching Assistant,,,Both
Defensive coaching assistant,defensive coaching assistant,Specialist Coach,Coaching Assistant,,,Both
Defensive secondary coaches assistant,defensive secondary coaches assistant,Specialist Coach,Coaching Assistant,,,Both
Director of player development/special assistant to the head coach,director of player development/special assistant to the head coach,Specialist Coach,Coaching Assistant,,,Both
Executive assistant to the head coach,executive assistant to the head coach,Specialist Coach,Coaching Assistant,,,Both
Executive assistant to the Head Coach,executive assistant to the head coach,Specialist Coach,Coaching Assistant,,,Both
Executive Chief of Staff,executive chief of staff,Specialist Coach,Coaching Assistant,,,Both
Field assistant,field assistant,Specialist Coach,Coaching Assistant,,,Both
Head coach's assistant,head coach's assistant,Specialist Coach,Coaching Assistant,,,Both
Head coach's associate,head coach's assistant,Specialist Coach,Coaching Assistant,,,Both
Off./def. administrative assistant to the head coach,off./def. administrative assistant to the head coach,Specialist Coach,Coaching Assistant,,,Both
Offensive Coaches Assistant,offensive coaches assistant,Specialist Coach,Coaching Assistant,,,Both
Offensive coaches assistant,offensive coaches assistant,Specialist Coach,Coaching Assistant,,,Both
Offensive coaching assistant,offensive coaching assistant,Specialist Coach,Coaching Assistant,,,Both
Offensive coaching associate,offensive coaching assistant,Specialist Coach,Coaching Assistant,,,Both
Senior assistant to the head coach,senior assistant to the head coach,Specialist Coach,Coaching Assistant,,,Both
Senior coaching assistant,senior coaching assistant,Specialist Coach,Coaching Assistant,,,Both
Special assistant to head coach,special assistant to head coach,Specialist Coach,Coaching Assistant,,,Both
Special Assistant to Head Coach,special assistant to head coach,Specialist Coach,Coaching Assistant,,,Both
Special Assistant to Head Coach/Offense,special assistant to head coach/offense,Specialist Coach,Coaching Assistant,,,Both
Special Assistant to the Head Coach,special assistant to the head coach,Specialist Coach,Coaching Assistant,,,Both
Special assistant to the head coach,special assistant to the head coach,Specialist Coach,Coaching Assistant,,,Both
Special Assistant to the head coach,special assistant to the head coach,Specialist Coach,Coaching Assistant,,,Both
Special assistant to the Head coach,special assistant to the head coach,Specialist Coach,Coaching Assistant,,,Both
Special assistant to the head coach/defensive backs/secondary,special assistant to the head coach/defensive backs/secondary,Specialist Coach,Coaching Assistant,,,Both
Special assistant to the head coach/linebackers,special assistant to the head coach/linebackers,Specialist Coach,Coaching Assistant,,,Both
Special assistant to the head coach/offense,special assistant to the head coach/offense,Specialist Coach,Coaching Assistant,,,Both
Staff Assistant,staff assistant,Specialist Coach,Coaching Assistant,,,Both
Staff assistant,staff assistant,Specialist Coach,Coaching Assistant,,,Both
Staff Assistant (Defense),staff assistant (defense),Specialist Coach,Coaching Assistant,,,Both
Staff Assistant (Special Teams),staff assistant (special teams),Specialist Coach,Coaching Assistant,,,Both
Strength staff assistant,strength staff assistant,Specialist Coach,Coaching Assistant,,,Both
Vice president of team administration/assistant to head coach,vice president of team administration/assistant to head coach,Specialist Coach,Coaching Assistant,,,Both
WCF minority coaching assistantship/defense,wcf minority coaching assistantship/defense,Specialist Coach,Coaching Assistant,,,Both
WCF minority coaching assistantship/offense and special teams,wcf minority coaching assistantship/offense and special teams,Specialist Coach,Coaching Assistant,,,Both
Bill Bidwill Fellowship/assistant running backs,bill bidwill fellowship/assistant running backs,Specialist Coach,Coaching Fellowship,,,Both
Bill Bidwill Fellowship/quarterbacks,bill bidwill fellowship/quarterbacks,Specialist Coach,Coaching Fellowship,,,Both
Fellowship coach–offense/special teams,fellowship coach-offense/special teams,Specialist Coach,Coaching Fellowship,,,Both
Offensive fellowship,offensive fellowship,Specialist Coach,Coaching Fellowship,,,Both
Quarterback fellowship,quarterback fellowship,Specialist Coach,Coaching Fellowship,,,Both
WCF minority fellowship,wcf minority fellowship,Specialist Coach,Coaching Fellowship,,,Both
Alex G. Spanos coaching fellowship,alex g. spanos coaching fellowship,Specialist Coach,Coaching Fellowship/Intern,,,Both
Baltimore Ravens coaching fellowship,baltimore ravens coaching fellowship,Specialist Coach,Coaching Fellowship/Intern,,,Both
Bill Bidwell coaching fellow,bill bidwell coaching fellow,Specialist Coach,Coaching Fellowship/Intern,,,Both
Bill bidwill coaching fellowship/assistant quarterbacks,bill bidwill coaching fellowship/assistant quarterbacks,Specialist Coach,Coaching Fellowship/Intern,,,Both
Bill bidwill coaching fellowship/running backs,bill bidwill coaching fellowship/running backs,Specialist Coach,Coaching Fellowship/Intern,,,Both
Bill Walsh coaching fellowship,bill walsh coaching fellowship,Specialist Coach,Coaching Fellowship/Intern,,,Both
Bill Walsh Diversity Coaching Fellowship,bill walsh diversity coaching fellowship,Specialist Coach,Coaching Fellowship/Intern,,,Both
Bill Willis diversity coaching fellow,bill willis diversity coaching fellow,Specialist Coach,Coaching Fellowship/Intern,,,Both
Billy Thompson coaching fellowship,billy thompson coaching fellowship,Specialist Coach,Coaching Fellowship/Intern,,,Both
Coaching fellow,coaching fellow,Specialist Coach,Coaching Fellowship/Intern,,,Both
Defensive intern,defensive intern,Specialist Coach,Coaching Fellowship/Intern,,,Both
Intern,intern,Specialist Coach,Coaching Fellowship/Intern,,,Both
Intern athletic trainer,intern athletic trainer,Specialist Coach,Coaching Fellowship/Intern,,,Both
Intern–defensive,intern-defensive,Specialist Coach,Coaching Fellowship/Intern,,,Both
Marlin Briscoe coaching fellowship,marlin briscoe coaching fellowship,Specialist Coach,Coaching Fellowship/Intern,,,Both
Minority intern,minority intern,Specialist Coach,Coaching Fellowship/Intern,,,Both
NFL coaching fellowship/defense,nfl coaching fellowship/defense,Specialist Coach,Coaching Fellowship/Intern,,,Both
Offensive intern,offensive intern,Specialist Coach,Coaching Fellowship/Intern,,,Both
Photography intern,photography intern,Specialist Coach,Coaching Fellowship/Intern,,,Both
"Physician, internal medicine","physician, internal medicine",Specialist Coach,Coaching Fellowship/Intern,,,Both
Seasonal intern,seasonal intern,Specialist Coach,Coaching Fellowship/Intern,,,Both
Special teams intern,special teams intern,Specialist Coach,Coaching Fellowship/Intern,,,Both
Strength and conditioning intern,strength and conditioning intern,Specialist Coach,Coaching Fellowship/Intern,,,Both
Summer intern,summer intern,Specialist Coach,Coaching Fellowship/Intern,,,Both
Summer Intern Athletic Trainer,summer intern athletic trainer,Specialist Coach,Coaching Fellowship/Intern,,,Both
Tony Dungy diversity coaching fellow,tony dungy diversity coaching fellow,Specialist Coach,Coaching Fellowship/Intern,,,Both
Training camp intern,training camp intern,Specialist Coach,Coaching Fellowship/Intern,,,Both
Training camp strength and conditioning intern,training camp strength and conditioning intern,Specialist Coach,Coaching Fellowship/Intern,,,Both
Wide receivers/NFL coaching fellowship,wide receivers/nfl coaching fellowship,Specialist Coach,Coaching Fellowship/Intern,,,Both
Assistant coordinator/defense,assistant coordinator/defense,Specialist Coach,Defensive Assistant,,,Defense
Assistant defensive backs/third down specialist,assistant defensive backs/third down specialist,Specialist Coach,Defensive Assistant,,,Defense
Assistant defensive line/defensive assistant,assistant defensive line/defensive assistant,Specialist Coach,Defensive Assistant,,,Defense
Assistant special teams/defensive assistant,assistant special teams/defensive assistant,Specialist Coach,Defensive Assistant,,,Defense
Coordinator of football research/defensive assistant,coordinator of football research/defensive assistant,Specialist Coach,Defensive Assistant,,,Defense
Defense,defense,Specialist Coach,Defensive Assistant,,,Defense
Defense assistant,defense assistant,Specialist Coach,Defensive Assistant,,,Defense
Defensive,defensive,Specialist Coach,Defensive Assistant,,,Defense
Defensive assistant,defensive assistant,Specialist Coach,Defensive Assistant,,,Defense
Defensive Assistant,defensive assistant,Specialist Coach,Defensive Assistant,,,Defense
Defensive aide,defensive assistant,Specialist Coach,Defensive Assistant,,,Defense
Defensive assistant (nickels),defensive assistant (nickels),Specialist Coach,Defensive Assistant,,,Defense
Defensive assistant / secondary,defensive assistant / secondary,Specialist Coach,Defensive Assistant,,,Defense
Defensive assistant coach,defensive assistant coach,Specialist Coach,Defensive Assistant,,,Defense
Defensive assistant/assistant defensive backs,defensive assistant/assistant defensive backs,Specialist Coach,Defensive Assistant,,,Defense
Defensive assistant/Assistant defensive backs,defensive assistant/assistant defensive backs,Specialist Coach,Defensive Assistant,,,Defense
Defensive assistant/assistant defensive line,defensive assistant/assistant defensive line,Specialist Coach,Defensive Assistant,,,Defense
Defensive assistant/Assistant Defensive Line,defensive assistant/assistant defensive line,Specialist Coach,Defensive Assistant,,,Defense
Defensive assistant/assistant linebackers,defensive assistant/assistant linebackers,Specialist Coach,Defensive Assistant,,,Defense
Defensive assistant/assistant strength,defensive assistant/assistant strength,Specialist Coach,Defensive Assistant,,,Defense
Defensive Assistant/Coaching Operations,defensive assistant/coaching operations,Specialist Coach,Defensive Assistant,,,Defense
Defensive assistant/cornerbacks,defensive assistant/cornerbacks,Specialist Coach,Defensive Assistant,,,Defense
Defensive assistant/defensive backs,defensive assistant/defensive backs,Specialist Coach,Defensive Assistant,,,Defense
Defensive assistant/defensive ends,defensive assistant/defensive ends,Specialist Coach,Defensive Assistant,,,Defense
Defensive assistant/defensive line,defensive assistant/defensive line,Specialist Coach,Defensive Assistant,,,Defense
Defensive assistant/lbs and dbs,defensive assistant/lbs and dbs,Specialist Coach,Defensive Assistant,,,Defense
Defensive Assistant/Linebackers,defensive assistant/linebackers,Specialist Coach,Defensive Assistant,,,Defense
Defensive assistant/linebackers,defensive assistant/linebackers,Specialist Coach,Defensive Assistant,,,Defense
Defensive Assistant/linebackers,defensive assistant/linebackers,Specialist Coach,Defensive Assistant,,,Defense
Defensive assistant/nickel,defensive assistant/nickel,Specialist Coach,Defensive Assistant,,,Defense
Defensive assistant/Nickel,defensive assistant/nickel,Specialist Coach,Defensive Assistant,,,Defense
Defensive assistant/nickelbacks,defensive assistant/nickelbacks,Specialist Coach,Defensive Assistant,,,Defense
Defensive assistant/nickels,defensive assistant/nickels,Specialist Coach,Defensive Assistant,,,Defense
Defensive assistant/outside linebackers,defensive assistant/outside linebackers,Specialist Coach,Defensive Assistant,,,Defense
Defensive assistant/pass rush,defensive assistant/pass rush,Specialist Coach,Defensive Assistant,,,Defense
Defensive assistant/pass rush specialist,defensive assistant/pass rush specialist,Specialist Coach,Defensive Assistant,,,Defense
Defensive assistant/safeties,defensive assistant/safeties,Specialist Coach,Defensive Assistant,,,Defense
Defensive assistant/secondary,defensive assistant/secondary,Specialist Coach,Defensive Assistant,,,Defense
Defensive assistant/special assistant,defensive assistant/special assistant,Specialist Coach,Defensive Assistant,,,Defense
Defensive assistant/special projects,defensive assistant/special projects,Specialist Coach,Defensive Assistant,,,Defense
Defensive assistant/Special Teams,defensive assistant/special teams,Specialist Coach,Defensive Assistant,,,Defense
Defensive Assistant/Special Teams,defensive assistant/special teams,Specialist Coach,Defensive Assistant,,,Defense
Defensive assistant/special teams,defensive assistant/special teams,Specialist Coach,Defensive Assistant,,,Defense
Defensive front specialist,defensive front specialist,Specialist Coach,Defensive Assistant,,,Defense
Defensive special assistant,defensive special assistant,Specialist Coach,Defensive Assistant,,,Defense
Defensive Staff Assistant,defensive staff assistant,Specialist Coach,Defensive Assistant,,,Defense
Defensive staff assistant,defensive staff assistant,Specialist Coach,Defensive Assistant,,,Defense
Nickel/senior defensive assistant,nickel/senior defensive assistant,Specialist Coach,Defensive Assistant,,,Defense
Outside linebacker/Senior Defensive assistant,outside linebacker/senior defensive assistant,Specialist Coach,Defensive Assistant,,,Defense
Senior defensive assistant,senior defensive assistant,Specialist Coach,Defensive Assistant,,,Defense
Senior Defensive Assistant / Special Projects Coach,senior defensive assistant / special projects coach,Specialist Coach,Defensive Assistant,,,Defense
Senior defensive assistant/cornerbacks,senior defensive assistant/cornerbacks,Specialist Coach,Defensive Assistant,,,Defense
Senior defensive assistant/defensive line,senior defensive assistant/defensive line,Specialist Coach,Defensive Assistant,,,Defense
Senior defensive assistant/linebackers,senior defensive assistant/linebackers,Specialist Coach,Defensive Assistant,,,Defense
Senior defensive assistant/outside linebackers,senior defensive assistant/outside linebackers,Specialist Coach,Defensive Assistant,,,Defense
Senior defensive assistant/Outside linebackers,senior defensive assistant/outside linebackers,Specialist Coach,Defensive Assistant,,,Defense
Senior defensive assistant/pass rush specialist,senior defensive assistant/pass rush specialist,Specialist Coach,Defensive Assistant,,,Defense
Senior defensive assistant/run game specialist,senior defensive assistant/run game specialist,Specialist Coach,Defensive Assistant,,,Defense
Senior defensive assistant/safeties,senior defensive assistant/safeties,Specialist Coach,Defensive Assistant,,,Defense
Senior defensive assistant/secondary,senior defensive assistant/secondary,Specialist Coach,Defensive Assistant,,,Defense
Special Assistant / Defensive Backfield Coach,special assistant / defensive backfield coach,Specialist Coach,Defensive Assistant,,,Defense
Special assistant to the defense,special assistant to the defense,Specialist Coach,Defensive Assistant,,,Defense
Special assistant/defense,special assistant/defense,Specialist Coach,Defensive Assistant,,,Defense
Special Assistant/Defense,special assistant/defense,Specialist Coach,Defensive Assistant,,,Defense
Special defensive assistant/assistant defensive line,special defensive assistant/assistant defensive line,Specialist Coach,Defensive Assistant,,,Defense
Special defensive assistant/asst. defensive line,special defensive assistant/assistant. defensive line,Specialist Coach,Defensive Assistant,,,Defense
Special teams/defensive assistant,special teams/defensive assistant,Specialist Coach,Defensive Assistant,,,Defense
Strength and conditioning/defensive assistant,strength and conditioning/defensive assistant,Specialist Coach,Defensive Assistant,,,Defense
Kicking consultant,kicking consultant,Specialist Coach,Kicking Consultant,,,Both
Assistant offensive line/offensive assistant,assistant offensive line/offensive assistant,Specialist Coach,Offensive Assistant,,,Offense
Assistant quarterbacks/offensive assistant,assistant quarterbacks/offensive assistant,Specialist Coach,Offensive Assistant,,,Offense
Assistant special teams/offensive assistant,assistant special teams/offensive assistant,Specialist Coach,Offensive Assistant,,,Offense
Assistant to the offense,assistant to the offense,Specialist Coach,Offensive Assistant,,,Offense
Assistant wide receivers/offensive assistant,assistant wide receivers/offensive assistant,Specialist Coach,Offensive Assistant,,,Offense
Assistant wide receivers/offensive assistant/assistant special teams,assistant wide receivers/offensive assistant/assistant special teams,Specialist Coach,Offensive Assistant,,,Offense
Offense,offense,Specialist Coach,Offensive Assistant,,,Offense
Offense and special teams assistant,offense and special teams assistant,Specialist Coach,Offensive Assistant,,,Offense
Offense assistant,offense assistant,Specialist Coach,Offensive Assistant,,,Offense
Offensive assistant,offensive assistant,Specialist Coach,Offensive Assistant,,,Offense
Offensive Assistant,offensive assistant,Specialist Coach,Offensive Assistant,,,Offense
Offensive aide,offensive assistant,Specialist Coach,Offensive Assistant,,,Offense
Offensive assistant (quarterbacks/receivers),offensive assistant (quarterbacks/receivers),Specialist Coach,Offensive Assistant,,,Offense
Offensive assistant (quarterbacks/wide receivers),offensive assistant (quarterbacks/wide receivers),Specialist Coach,Offensive Assistant,,,Offense
Offensive assistant (running backs),offensive assistant (running backs),Specialist Coach,Offensive Assistant,,,Offense
Offensive assistant / Research and Development,offensive assistant / research and development,Specialist Coach,Offensive Assistant,,,Offense
Offensive assistant/assistant offensive line,offensive assistant/assistant offensive line,Specialist Coach,Offensive Assistant,,,Offense
Offensive assistant/assistant player programs,offensive assistant/assistant player programs,Specialist Coach,Offensive Assistant,,,Offense
Offensive assistant/assistant quarterbacks,offensive assistant/assistant quarterbacks,Specialist Coach,Offensive Assistant,,,Offense
Offensive assistant/assistant quarterbacks coach,offensive assistant/assistant quarterbacks coach,Specialist Coach,Offensive Assistant,,,Offense
Offensive assistant/assistant special teams,offensive assistant/assistant special teams,Specialist Coach,Offensive Assistant,,,Offense
Offensive assistant/assistant wide receivers,offensive assistant/assistant wide receivers,Specialist Coach,Offensive Assistant,,,Offense
Offensive Assistant/Coaches’ Assistant,offensive assistant/coaches’ assistant,Specialist Coach,Offensive Assistant,,,Offense
Offensive assistant/defensive assistant,offensive assistant/defensive assistant,Specialist Coach,Offensive Assistant,,,Offense
Offensive assistant/fellowship,offensive assistant/fellowship,Specialist Coach,Offensive Assistant,,,Offense
Offensive assistant/game management,offensive assistant/game management,Specialist Coach,Offensive Assistant,,,Offense
Offensive assistant/game manager,offensive assistant/game manager,Specialist Coach,Offensive Assistant,,,Offense
Offensive assistant/minority coaching fellow,offensive assistant/minority coaching fellow,Specialist Coach,Offensive Assistant,,,Offense
Offensive assistant/minority fellowship,offensive assistant/minority fellowship,Specialist Coach,Offensive Assistant,,,Offense
Offensive assistant/offensive line,offensive assistant/offensive line,Specialist Coach,Offensive Assistant,,,Offense
Offensive assistant/pass game specialist,offensive assistant/pass game specialist,Specialist Coach,Offensive Assistant,,,Offense
Offensive assistant/passing game,offensive assistant/passing game,Specialist Coach,Offensive Assistant,,,Offense
Offensive assistant/quarterbacks,offensive assistant/quarterbacks,Specialist Coach,Offensive Assistant,,,Offense
Offensive assistant/quarterbacs,offensive assistant/quarterbacs,Specialist Coach,Offensive Assistant,,,Offense
Offensive assistant/receivers,offensive assistant/receivers,Specialist Coach,Offensive Assistant,,,Offense
Offensive assistant/research & analysis,offensive assistant/research & analysis,Specialist Coach,Offensive Assistant,,,Offense
Offensive assistant/run game specialist,offensive assistant/run game specialist,Specialist Coach,Offensive Assistant,,,Offense
Offensive Assistant/Running Backs/Special Teams,offensive assistant/running backs/special teams,Specialist Coach,Offensive Assistant,,,Offense
Offensive assistant/special assistant,offensive assistant/special assistant,Specialist Coach,Offensive Assistant,,,Offense
Offensive assistant/special teams,offensive assistant/special teams,Specialist Coach,Offensive Assistant,,,Offense
Offensive assistant/special teams assistant,offensive assistant/special teams assistant,Specialist Coach,Offensive Assistant,,,Offense
Offensive assistant/tight ends,offensive assistant/tight ends,Specialist Coach,Offensive Assistant,,,Offense
Offensive assistant/Tight Ends,offensive assistant/tight ends,Specialist Coach,Offensive Assistant,,,Offense
Offensive Assistant/Wide Receivers,offensive assistant/wide receivers,Specialist Coach,Offensive Assistant,,,Offense
Offensive assistant/wide receivers,offensive assistant/wide receivers,Specialist Coach,Offensive Assistant,,,Offense
Offensive assists,offensive assists,Specialist Coach,Offensive Assistant,,,Offense
Offensive specialist,offensive specialist,Specialist Coach,Offensive Assistant,,,Offense
Offensive Staff Assistant,offensive staff assistant,Specialist Coach,Offensive Assistant,,,Offense
Offensive staff assistant,offensive staff assistant,Specialist Coach,Offensive Assistant,,,Offense
Senior offensive assistant,senior offensive assistant,Specialist Coach,Offensive Assistant,,,Offense
Senior Offensive Assistant/Interim Offensive coordinator,senior offensive assistant/interim offensive coordinator,Specialist Coach,Offensive Assistant,,,Offense
Senior offensive assistant/pass game specialist,senior offensive assistant/pass game specialist,Specialist Coach,Offensive Assistant,,,Offense
Senior offensive assistant/running backs,senior offensive assistant/running backs,Specialist Coach,Offensive Assistant,,,Offense
Senior offensive assistant/running backs/interim offensive coordinator,senior offensive assistant/running backs/interim offensive coordinator,Specialist Coach,Offensive Assistant,,,Offense
Senior offensive assistant/special assignments,senior offensive assistant/special assignments,Specialist Coach,Offensive Assistant,,,Offense
Senior offensive assistant/tight ends,senior offensive assistant/tight ends,Specialist Coach,Offensive Assistant,,,Offense
Senior offensive assistant/wide receivers,senior offensive assistant/wide receivers,Specialist Coach,Offensive Assistant,,,Offense
Senior offensive assistant/wide receivers coach,senior offensive assistant/wide receivers coach,Specialist Coach,Offensive Assistant,,,Offense
Special assistant–offense/tight ends,special assistant-offense/tight ends,Specialist Coach,Offensive Assistant,,,Offense
Special assistant/offense,special assistant/offense,Specialist Coach,Offensive Assistant,,,Offense
Special offensive assistant,special offensive assistant,Specialist Coach,Offensive Assistant,,,Offense
Special teams/ offensive assistant,special teams/ offensive assistant,Specialist Coach,Offensive Assistant,,,Offense
Tight ends/offensive Assistant,tight ends/offensive assistant,Specialist Coach,Offensive Assistant,,,Offense
Tight ends/offensive assistant,tight ends/offensive assistant,Specialist Coach,Offensive Assistant,,,Offense
Tight Ends/Offensive Assistant,tight ends/offensive assistant,Specialist Coach,Offensive Assistant,,,Offense
Offensive Consultant,offensive consultant,Specialist Coach,Offensive Consultant,,,Offense
Offensive consultant,offensive consultant,Specialist Coach,Offensive Consultant,,,Offense
Offensive line consultant,offensive line consultant,Specialist Coach,Offensive Consultant,,,Offense
Offensive line/consultant,offensive line/consultant,Specialist Coach,Offensive Consultant,,,Offense
Senior coaching consultant/Offensive Consultant,senior coaching consultant/offensive consultant,Specialist Coach,Offensive Consultant,,,Offense
Senior coaching consultant/offensive consultant,senior coaching consultant/offensive consultant,Specialist Coach,Offensive Consultant,,,Offense
Senior offensive consultant,senior offensive consultant,Specialist Coach,Offensive Consultant,,,Offense
Assistant quarterbacks coach/pass game specialist,assistant quarterbacks coach/pass game specialist,Specialist Coach,Pass Game Specialist,,,Both
Cornerbacks/pass game specialist,cornerbacks/pass game specialist,Specialist Coach,Pass Game Specialist,,,Both
Defensive backs/pass game specialist,defensive backs/pass game specialist,Specialist Coach,Pass Game Specialist,,,Both
Defensive pass game specialist,defensive pass game specialist,Specialist Coach,Pass Game Specialist,,,Both
Defensive pass game specialist/secondary,defensive pass game specialist/secondary,Specialist Coach,Pass Game Specialist,,,Both
Defensive passing game specialist/defensive backs,defensive passing game specialist/defensive backs,Specialist Coach,Pass Game Specialist,,,Both
Defensive passing game specialist/nickelbacks,defensive passing game specialist/nickelbacks,Specialist Coach,Pass Game Specialist,,,Both
Game management coordinator/passing game specialist,game management coordinator/passing game specialist,Specialist Coach,Pass Game Specialist,,,Both
Offensive passing game specialist,offensive passing game specialist,Specialist Coach,Pass Game Specialist,,,Both
Pass game specialist,pass game specialist,Specialist Coach,Pass Game Specialist,,,Both
Pass game specialist/game management,pass game specialist/game management,Specialist Coach,Pass Game Specialist,,,Both
Pass game specialist/game management coordinator,pass game specialist/game management coordinator,Specialist Coach,Pass Game Specialist,,,Both
Pass game specialist/tight ends,pass game specialist/tight ends,Specialist Coach,Pass Game Specialist,,,Both
Pass game specialist/wide receivers,pass game specialist/wide receivers,Specialist Coach,Pass Game Specialist,,,Both
Passing game analyst,passing game analyst,Specialist Coach,Pass Game Specialist,,,Both
Passing game specialist,passing game specialist,Specialist Coach,Pass Game Specialist,,,Both
Passing game specialist/defensive backs,passing game specialist/defensive backs,Specialist Coach,Pass Game Specialist,,,Both
Passing game specialist/game management,passing game specialist/game management,Specialist Coach,Pass Game Specialist,,,Both
Passing game specialist/wide receivers,passing game specialist/wide receivers,Specialist Coach,Pass Game Specialist,,,Both
Passing Game/Play Calling,passing game/play calling,Specialist Coach,Pass Game Specialist,,,Both
Quarterbacks/passing game,quarterbacks/passing game,Specialist Coach,Pass Game Specialist,,,Both
Receivers/passing game,receivers/passing game,Specialist Coach,Pass Game Specialist,,,Both
Receivers/Passing Game,receivers/passing game,Specialist Coach,Pass Game Specialist,,,Both
Wide receivers/pass game specialist,wide receivers/pass game specialist,Specialist Coach,Pass Game Specialist,,,Both
Wide receivers/passing game specialist,wide receivers/passing game specialist,Specialist Coach,Pass Game Specialist,,,Both
Assistant defensive line/pass rush specialist,assistant defensive line/pass rush specialist,Specialist Coach,Pass Rush Specialist,,,Both
Assistant linebackers/pass rush specialist,assistant linebackers/pass rush specialist,Specialist Coach,Pass Rush Specialist,,,Both
Assistant Strength/Pass Rush Consultant,assistant strength/pass rush consultant,Specialist Coach,Pass Rush Specialist,,,Both
Assistant strength/pass rush consultant,assistant strength/pass rush consultant,Specialist Coach,Pass Rush Specialist,,,Both
