role_original,role_cleaned,role_category,role_subcategory,position_group,position_subgroup,side_of_ball
Contract Administrator/Football Analyst,contract administrator/football analyst,Analytics & Research,Analytics/Research,,,N/A
"Coordinator, football research and development","coordinator, football research and development",Analytics & Research,Analytics/Research,,,N/A
Defensive analyst,defensive analyst,Analytics & Research,Analytics/Research,,,N/A
Defensive football analyst,defensive football analyst,Analytics & Research,Analytics/Research,,,N/A
Director of analytics,director of analytics,Analytics & Research,Analytics/Research,,,N/A
Director of Analytics,director of analytics,Analytics & Research,Analytics/Research,,,N/A
Director of coaching analytics,director of coaching analytics,Analytics & Research,Analytics/Research,,,N/A
Director of football analytics,director of football analytics,Analytics & Research,Analytics/Research,,,N/A
Director of Football Analytics,director of football analytics,Analytics & Research,Analytics/Research,,,N/A
Director of football research,director of football research,Analytics & Research,Analytics/Research,,,N/A
Director of football research & strategy,director of football research & strategy,Analytics & Research,Analytics/Research,,,N/A
Director of Football Technology and Analytics,director of football technology and analytics,Analytics & Research,Analytics/Research,,,N/A
Director of performance analytics,director of performance analytics,Analytics & Research,Analytics/Research,,,N/A
"Director of player evaluation, research & analysis","director of player evaluation, research & analysis",Analytics & Research,Analytics/Research,,,N/A
Director of research,director of research,Analytics & Research,Analytics/Research,,,N/A
Director of Research,director of research,Analytics & Research,Analytics/Research,,,N/A
Director of research & strategy,director of research & strategy,Analytics & Research,Analytics/Research,,,N/A
Director of research and analysis,director of research and analysis,Analytics & Research,Analytics/Research,,,N/A
Director of Research and Development,director of research and development,Analytics & Research,Analytics/Research,,,N/A
Director of research and development,director of research and development,Analytics & Research,Analytics/Research,,,N/A
Director of research and strategy,director of research and strategy,Analytics & Research,Analytics/Research,,,N/A
"Director, analytics","director, analytics",Analytics & Research,Analytics/Research,,,N/A
"Director, football analytics","director, football analytics",Analytics & Research,Analytics/Research,,,N/A
"Director, football analytics and strategy","director, football analytics and strategy",Analytics & Research,Analytics/Research,,,N/A
"Director, football research & strategy","director, football research & strategy",Analytics & Research,Analytics/Research,,,N/A
"Director, football research and development","director, football research and development",Analytics & Research,Analytics/Research,,,N/A
"Director, research & strategy","director, research & strategy",Analytics & Research,Analytics/Research,,,N/A
Football analyst,football analyst,Analytics & Research,Analytics/Research,,,N/A
Football operations analyst,football operations analyst,Analytics & Research,Analytics/Research,,,N/A
Football research analyst,football research analyst,Analytics & Research,Analytics/Research,,,N/A
Football research director,football research director,Analytics & Research,Analytics/Research,,,N/A
"Manager, football analytics","manager, football analytics",Analytics & Research,Analytics/Research,,,N/A
Offense research,offense research,Analytics & Research,Analytics/Research,,,N/A
Offense–research,offense-research,Analytics & Research,Analytics/Research,,,N/A
